Neighborhood,Latitude,Longitude
King Abdullah Financial District  Riyadh,24.76571265,46.63858725
Al-Manakh  Riyadh,24.615833,46.793333
Al-Fayha  Riyadh,24.683333,46.804444
Al-Sa'adah  Riyadh,24.6514894,46.7030004
Khashm Al-'Aan  Riyadh,24.6688,46.9256
Al Iskan  Riyadh,24.574,46.8494
Ad Difa'  Riyadh,24.59278435,46.83394687
Al-Selayy  Riyadh,24.711667,46.724167
Al-Qouds  Riyadh,24.7539097,46.75558419
Al-Hamra  Riyadh,24.7913191,46.7628094
Al-Andalus  Riyadh,24.738622,46.78089
Qortubah (Cordoba)  Riyadh,24.711667,46.724167
Gharnatah (Granada)  Riyadh,24.7927,46.744
Al-Nahdhah  Riyadh,24.75879795,46.81326803
Al-M'aizliyyah  Riyadh,24.7898995,46.84124272
Al-Qadisiyah  Riyadh,24.825278,46.826111
Al-Rawdhah  Riyadh,24.7315,46.7656
Al-Nadheem  Riyadh,24.139167,46.181111
Al-Rimayah  Riyadh,24.763889,46.8625
Al-Manar  Riyadh,24.72483465,46.79756901
As-Salam  Riyadh,24.0139191,47.13783368
Al-Naseem (West)  Riyadh,24.7236,46.8286
Al-Naseem (East)  Riyadh,24.71,46.82
Al-Arid  Riyadh,24.4991651,47.0003781
Al-Aqiq  Riyadh,24.8935,46.606
Imam Muhammad ibn Saud University main campus  Riyadh,24.807362,46.698874
Al-Nafil  Riyadh,24.7817733,46.67334917
Al-Ghadir  Riyadh,24.774167,46.655556
Al-Wadi  Riyadh,24.789444,46.691389
Hittin  Riyadh,24.753889,46.600833
Al-Sahafa  Riyadh,24.803095,46.639992
Al-Malga  Riyadh,24.8007349,46.60070282
Sultanah  Riyadh,24.60321,46.6884421
Dahrat Al-Badi'a  Riyadh,24.618385,46.681448
Al-Badi'a  Riyadh,24.6086298,46.6734305
As-Suwaidi  Riyadh,24.5926483,46.67121808
Hijrat Laban  Riyadh,24.636784,46.5966777
Dharat Laban  Riyadh,24.628509,46.534137
Shubra  Riyadh,24.5748511,46.6670703
Al-Urayja Al-Wusta  Riyadh,24.6051442,46.636753
Al-Urayja  Riyadh,24.5886941,46.5998408
Al-Marwah  Riyadh,24.5386858,46.6741132
Al-Mansuriyya  Riyadh,24.608681,46.744484
Al-Shifa  Riyadh,24.5673,46.7024
Al-Masani'  Riyadh,24.578889,46.73
Al-Murabba'  Riyadh,24.659914,46.7097712
Jarir  Riyadh,24.6784279,46.7509758
Al-Rayyan  Riyadh,24.7121,46.7788
Al-Rabwah  Riyadh,24.6916,46.764
Al-Malaz  Riyadh,24.686667,46.74
Al Mansouriyah  Riyadh,24.5948553,46.7331091
Taybah  Riyadh,24.5418304,46.83170731
Ad Dar Al Baida  Riyadh,24.56247,46.789902
Al-Ha'ir  Riyadh,24.402222,46.836667
Al-Ra'id  Riyadh,24.71006185,46.64048579
Al-Muhammadiyya  Riyadh,24.7328,46.6492
Al-Rahmaniyya  Riyadh,24.717,46.6594
Al-Ma'athar Al-Shimali  Riyadh,24.6589,46.681
Umm Al-Hamam Riyadh,24.69345,46.6461217
King Saud University main campus  Riyadh,24.72509,46.623567
Al-Nakheel  Riyadh,24.7679,46.7149
Al-Ma'athar  Riyadh,24.69216205,46.66616925
Umm Sleym  Riyadh,24.63422,46.698631
Al-Nasriyyah  Riyadh,24.65123,46.680715
Syah  Riyadh,24.60877315,46.70195316
Eleyshah  Riyadh,24.631816,46.68416027
Al-Shemaysi  Riyadh,24.62378005,46.70053754
Diplomatic Quarter  Riyadh,24.67710345,46.62514518
Al-Khozama  Riyadh,24.714684,46.59768995
Irqah  Riyadh,24.690117,46.6008437
Deerab  Riyadh,24.503819,46.624215
Hazm  Riyadh,25.671389,46.867778
Tuwaiq  Riyadh,24.083333,46.028333
Dharat Nemar  Riyadh,24.55825,46.609139
Nemar  Riyadh,24.5546146,46.6149892
Al-Wurood  Riyadh,24.724837,46.680077
Al-Mugharrazat  Riyadh,24.763617,46.725911
Al-Murooj  Riyadh,24.75871065,46.6611982
Al-Masif  Riyadh,24.765556,46.681389
King Fahd District  Riyadh,24.74060285,46.67036378
Al Izdihar  Riyadh,24.7803207,46.7175302
Al-Sulaymaniyyah  Riyadh,24.704956,46.700845
Al-'Olayya  Riyadh,24.68135795,46.69085373
Otayyigah  Riyadh,24.60141175,46.70785524
Al-Yamamah  Riyadh,24.194167,47.373611
Jabrah  Riyadh,24.6246709,46.7181025
Salam  Riyadh,24.6218928,46.5721652
Al-Margab  Riyadh,24.6348837,46.7271191
Al-Mansorah  Riyadh,24.608447,46.743969
Al-'Oud  Riyadh,24.626966,46.72812
Manfuha  Riyadh,24.6130311,46.72249251
Mi'kal  Riyadh,24.6236519,46.71407902
Al-Deerah (old )  Riyadh,24.633827,46.709435
Al-Qayrawan  Riyadh,24.830387,46.579929
